model,deployment,protocol,mode,location,iterations,errors,concurrency,total_time_sec,throughput_fps,avg_latency_fps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,test_type,timestamp
yolov8s,nim-binary,grpc,concurrent,internal,200,0,8,0.8558157049997135,233.69517389268634,32.23617298302363,31.021052050025446,30.72343700023339,43.323895999947126,47.785072999886324,58.28382500021689,10.392886000317958,68.30096800013052,internal,2026-01-02T12:00:16.028942
yolov8s,nim-grpc,grpc,concurrent,internal,200,0,8,0.8544170499990287,234.0777258602545,32.566020784476095,30.70685260007849,28.825346000303398,45.755867000480066,50.886545001048944,68.06346100165683,12.35651000024518,74.93389000046591,internal,2026-01-02T12:00:20.693088
yolov8s,nim-batching,grpc,concurrent,internal,200,0,8,0.8302424829998927,240.8934788272282,33.41573676857564,29.926019794972945,28.654223999637907,43.22804000003089,45.701723999627575,61.90886500007764,9.130721000019548,63.63906299975497,internal,2026-01-02T10:18:40.686657
yolov8x,base-yolo,http,concurrent,internal,200,0,8,9.562846984999851,20.91427378412697,2.6608553194103144,375.81900553000196,383.38825600112614,386.73532900065766,387.4279569990904,388.42675399973814,50.86411000047519,388.80417399923317,internal,2026-01-02T12:00:39.012223
yolov8x,nim-binary,grpc,concurrent,internal,200,0,8,0.8268013209999481,241.8960818278767,33.95645160023714,29.44948464500385,28.091869999570918,42.130197000005865,48.82708599961916,58.873067000149604,10.062511000342056,71.87260899991088,internal,2026-01-02T10:18:59.488705
yolov8x,nim-grpc,grpc,concurrent,internal,200,0,8,0.8632549110002401,231.6812768180642,31.79473953576276,31.451743735003674,30.04069200005688,44.96967700015375,49.867649000134406,67.01555700010431,13.006373000280291,75.3958839995903,internal,2026-01-02T10:19:04.181852
yolov8x,nim-batching,grpc,concurrent,internal,200,0,8,0.8731104090002191,229.06610428458404,31.528962068837956,31.716870279988143,29.252030999487033,49.142556001243065,55.60891399909451,70.3331579989026,8.66766399849439,93.44170700023824,internal,2026-01-02T12:00:52.523461
yolov11l,nim-batching,grpc,concurrent,internal,500,0,16,2.2594145189996198,221.2962675929782,15.923901464986384,62.79868047405398,53.22039900056552,110.37890599982347,130.43071600077383,164.83572800098045,12.161512999227853,211.76336000098672,internal,2026-01-02T12:03:27.402800
yolov11l,nim-grpc,grpc,concurrent,internal,500,0,16,2.0666105290001724,241.94205583666525,17.16923237655586,58.243722145986794,51.52475199975015,97.70634599999539,117.2897180003929,147.7124409998396,17.606827999770758,162.98434000009365,internal,2026-01-02T10:21:34.044643
yolov11m,base-yolo,http,concurrent,internal,500,0,16,23.651810448000106,21.14003074307057,1.3415677489312101,745.3965711360253,756.042303999493,761.4854040002683,763.0940279996139,765.102712000953,53.05793899970013,765.3363499994157,internal,2026-01-02T12:03:55.638698
yolov11s,nim-grpc,grpc,concurrent,internal,500,0,16,2.2136892990001797,225.86728870480005,16.167242981953073,61.85346512799151,54.91718200028117,105.68583299937018,126.34658400020271,162.12269599964202,16.173260999494232,205.98661299845844,internal,2026-01-02T12:04:54.079690
yolov11s,nim-batching,grpc,concurrent,internal,65,435,16,3.0583590139995067,21.253227532302553,17.33652950982336,57.681671492173336,40.18442199958372,87.72306099854177,222.7991550007573,277.6878519998718,14.896603999659419,277.6878519998718,internal,2026-01-02T12:05:00.914474
yolov8m,nim-grpc,grpc,concurrent,internal,500,0,16,2.1631953400001294,231.13955117893795,16.335364452497924,61.21687721800936,53.38368800039461,103.1094610002583,122.17805299997053,169.53596999974252,16.502410000157397,196.54584799991426,internal,2026-01-02T10:24:30.145704
yolov11l,base-yolo,http,concurrent,internal,100,0,4,4.712827561999802,21.218684257899483,5.388393919004164,185.58405622000464,187.99888400008058,190.52336900040245,191.07219699981215,193.63404900013848,50.502938000136055,193.63404900013848,internal,2026-01-02T11:51:58.748538
yolov11l,nim-binary,grpc,concurrent,internal,100,0,4,0.4184717519997321,238.9647557383133,65.5596710354164,15.253279710018433,14.42040200026895,19.60292500007199,22.697000999869488,32.05524199984211,9.67203599975619,32.05524199984211,internal,2026-01-02T11:52:02.914036
yolov11l,nim-grpc,grpc,concurrent,internal,100,0,4,0.43918910199954553,227.6923528947298,62.42194529817243,16.020006989901958,15.333067000028677,21.376148999479483,25.492716999906406,34.06534300029307,8.730325999749766,34.06534300029307,internal,2026-01-02T11:52:06.938126
yolov11l,nim-batching,grpc,concurrent,internal,100,0,4,0.4117168499997206,242.88537134214417,67.28022337103347,14.863208679989839,14.15273300062836,17.805805000534747,25.608738999835623,30.83250700001372,7.85539400021662,30.83250700001372,internal,2026-01-02T11:52:11.037010
yolov11m,base-yolo,http,concurrent,internal,100,0,4,4.7193694390007295,21.189271425458443,5.380943086079793,185.8410289800213,188.39845999991667,189.78268200044113,190.73943700004747,193.11834699965402,51.80138000014267,193.11834699965402,internal,2026-01-02T11:52:20.113515
yolov11m,nim-binary,grpc,concurrent,internal,100,0,4,0.3967173619998903,252.06862511862454,69.87389737552752,14.311495960009779,13.369883999985177,17.73900699981823,23.489998999821182,27.724879000061264,8.167023000169138,27.724879000061264,internal,2026-01-02T10:12:36.997715
yolov11m,nim-grpc,grpc,concurrent,internal,100,0,4,0.4215223060000426,237.23536946106452,65.11557647570237,15.35730856000555,14.248868000322545,20.232922000104736,23.445525000170164,28.350528000373743,7.830677999663749,28.350528000373743,internal,2026-01-02T11:52:28.139162
yolov11m,nim-batching,grpc,concurrent,internal,100,0,4,0.43552716799990776,229.60680147517496,62.806796835447415,15.921843660009927,14.35454700003902,21.367095999949015,25.296668999999383,40.19151500006046,7.569013999955132,40.19151500006046,internal,2026-01-02T10:12:45.352644
yolov11s,base-yolo,http,concurrent,internal,100,0,4,4.726793284999985,21.155991804706204,5.372123642866552,186.14612515999397,188.3470339998894,191.01228400086256,191.19215799946687,197.0237570003519,56.43183600022894,197.0237570003519,internal,2026-01-02T11:52:41.260620
yolov11s,nim-binary,grpc,concurrent,internal,100,0,4,0.437332446000255,228.65900052597902,62.974229521332816,15.879511470025136,15.273312000317674,20.121136999932787,24.33033500028614,32.39690700002029,10.296817000380543,32.39690700002029,internal,2026-01-02T11:52:45.360726
yolov11s,nim-grpc,grpc,concurrent,internal,100,0,4,0.4182084429999122,239.1152107850223,65.80908214958257,15.1954710100199,14.260671000101866,20.01280800004679,24.794376000045304,32.62731900008475,8.105262000071889,32.62731900008475,internal,2026-01-02T10:13:02.965235
yolov11s,nim-batching,grpc,concurrent,internal,100,0,4,0.4316722610001307,231.65722941824546,63.91429299881666,15.645952619995569,14.940037000087614,19.45008699999562,24.080221999838614,34.40791900015938,8.586617999981172,34.40791900015938,internal,2026-01-02T10:13:07.038863
yolov8l,base-yolo,http,concurrent,internal,100,0,4,4.717020957000386,21.199821012368634,5.384273986274571,185.72606121998433,188.23657299981278,189.69090999962646,190.94655200024135,191.67211599960865,51.332479999473435,191.67211599960865,internal,2026-01-02T11:53:02.665319
